ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ABTA ACACT5r CYTK1 EDTXSF1 FORtppi GLUDy MTHFD/MTHFC NDPK2 PDH PFL PGM PIt2rpp POX PPC PPKr PPS PYRtex SUCOAS TKT1,19,0.06586652,2.42741712,0.0577030637112754,1.26431611214228
ABTA ACACT5r CYTK1 EDTXSF1 GLUDy MAN6PI MTHFD/MTHFC NDPK2 PDH PFL PGI PGM POX PPC PPKr PPS PYRtex SUCOAS TKT1,19,0.0660006,2.42682832,0.0576899300915447,1.26407163651179
ABTA ACACT5r CYTK1 EDTXSF1 FORtppi GLUDy MTHFD/MTHFC NDPK2 PDH PFL PGI PGM POX PPC PPKr PPS PYRtex SUCOAS TKT1,19,0.0660006,2.42682832,0.0576899300915447,1.26407163651179
ABTA CYTK1 EDTXSF1 GLUDy MAN6PI MTHFD/MTHFC NDPK2 PDH PFL PGI PGM PIt2rpp POX PPC PPKr PPS PYRtex SUCOAS TKT1,19,0.06613045,2.42625806,0.0576770610210577,1.26383507957291
ABTA CYTK1 EDTXSF1 FORtppi GLUDy MTHFD/MTHFC NDPK2 PDH PFL PGI PGM PIt2rpp POX PPC PPKr PPS PYRtex SUCOAS TKT1,19,0.06613045,2.42625806,0.0576770610210577,1.26383507957291
ABTA ACACT5r EDTXSF1 FORtppi GLUDy MTHFD/MTHFC NDPK2 PACOAT PDH PFL PGM PIt2rpp POX PPC PPKr PPS PYRtex SUCOAS TKT1,19,0.06623296,2.42416006,0.0576300681714965,1.2637641860127
ABTA ACACT5r EDTXSF1 FORtppi GLUDy MTHFD/MTHFC NDPK2 PACOAT PDH PFL PGI PGM POX PPC PPKr PPS PYRtex SUCOAS TKT1,19,0.06636853,2.42356132,0.0576166143803394,1.26351779156459
ABTA ACACT5r CYTK1 GLUDy MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPKr PPS PYRtex SUCOAS TKT1,15,0.0668,2.42331776,0.0576110778443112,1.26261744567716
ABTA ACACT5r CYTK1 EDTXSF1 GLUDy MAN6PI MTHFD/MTHFC NDPK2 PDH PFL PGI PGM PIt2rpp POX PPC PPS PYRtex SUCOAS TKT1,19,0.06706218,2.42216643,0.0575853633150607,1.26214164506583
ABTA ACACT5r CYTK1 EDTXSF1 FORtppi GLUDy MTHFD/MTHFC NDPK2 PDH PFL PGI PGM PIt2rpp POX PPC PPS PYRtex SUCOAS TKT1,19,0.06706218,2.42216643,0.0575853633150607,1.26214164506583
ABTA ACACT5r CYTK1 GLUDy MTHFD/MTHFC NDPK2 PDH PFL POX PPKr PPS PYRtex SUCOAS TKT1,14,0.0671164,2.42192832,0.0575801145472643,1.26204329485131
ABTA CYTK1 GLUDy MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPKr PPS PYRtex SUCOAS TKT1,14,0.06725069,2.42133859,0.0575668442955753,1.26179991662065
ABTA CYTK1 GLUDy MTHFD/MTHFC NDPK2 PDH PFL POX PPKr PPS PYRtex SUCOAS TKT1,13,0.06757138,2.41993029,0.0575353056279153,1.26121928710671
ABTA GLUDy MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPKr PPS PYRtex SUCOAS TKT1,13,0.06763273,2.41797817,0.057491542926036,1.26122757960972
ABTA ACACT5r GLU5K/G5SD GLUDy MTHFD/MTHFC NDPK2 PDH PFL PGI PGM POX PPS PYRtex SUCOAS TKT1,15,0.06769326,2.41771088,0.0574856344634607,1.26111823600851
ABTA ACACT5r GLUDy MTHFD/MTHFC NDPK2 PDH PFL PGI PGM POX PPS PYRtex SUCOAS TKT1,14,0.06778907,2.41728773,0.0574760798459103,1.26094530812921
ABTA ACACT5r CYTK1 GLUDy MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPS PYRtex SUCOAS TKT1,14,0.06821448,2.41710615,0.0574719619646739,1.26005761303074
ABTA ACACT5r CYTK1 GLUDy MTHFD/MTHFC NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,13,0.06856949,2.41554715,0.0574370612935869,1.2594178337235
ABTA CYTK1 GLUDy MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPS PYRtex SUCOAS TKT1,13,0.06868452,2.41504198,0.057425748916932,1.25921076913866
ABTA CYTK1 GLUDy MTHFD/MTHFC NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,12,0.06901907,2.41357284,0.0573928336038141,1.25860919798284
ABTA GLUDy MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPS PYRtex SUCOAS TKT1,12,0.06908308,2.41157296,0.057347906318016,1.25861715323544
ABTA ACACT5r CYTK1 EDTXSF1 MAN6PI MTHFD/MTHFC NDPK2 PDH PFL PGI PGM PIt2rpp POX PPC PPKr PPS PYRtex SUCOAS TKT1,19,0.06965748,2.41076929,0.0573299522176226,1.25746395545398
ABTA ACACT5r CYTK1 EDTXSF1 FORtppi MTHFD/MTHFC NDPK2 PDH PFL PGI PGM PIt2rpp POX PPC PPKr PPS PYRtex SUCOAS TKT1,19,0.06965748,2.41076929,0.0573299522176226,1.25746395545398
ABTA CYTK1 MTHFD/MTHFC NDPK2 PDH PFL PGM PIt2rpp POX PPKr PPS PYRtex SUCOAS TKT1,14,0.07034373,2.40775564,0.0572623885597196,1.25623682067695
ABTA CYTK1 MTHFD/MTHFC NDPK2 PDH PFL PGM POX PPKr PPS PYRtex SUCOAS TKT1,13,0.07069468,2.40621448,0.0572277857400302,1.25561085945422
ABTA ACACT5r CYTK1 MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPKr PPS PYRtex SUCOAS TKT1,14,0.07090152,2.40530614,0.0572073772184291,1.25524244474126
ABTA ACACT5r CYTK1 MTHFD/MTHFC NDPK2 PDH PFL POX PPKr PPS PYRtex SUCOAS TKT1,13,0.07125807,2.40374037,0.0571723314987341,1.2546081944703
ABTA CYTK1 MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPKr PPS PYRtex SUCOAS TKT1,13,0.07140946,2.40307554,0.0571574130374323,1.25433924448361
ABTA CYTK1 MTHFD/MTHFC NDPK2 PDH PFL POX PPKr PPS PYRtex SUCOAS TKT1,12,0.07177115,2.4014872,0.0571218379529936,1.25369747147195
ABTA CYTK1 MTHFD/MTHFC NDPK2 PDH PFL PGM PIt2rpp POX PPS PYRtex SUCOAS TKT1,13,0.07191403,2.40085975,0.0571077715989496,1.25344426918376
ABTA CYTK1 MTHFD/MTHFC NDPK2 PDH PFL PGI PGM POX PPS PYRtex SUCOAS TKT1,13,0.07207389,2.40015774,0.0570919649265496,1.25316121395906
ABTA CYTK1 MTHFD/MTHFC NDPK2 PDH PFL PGM POX PPS PYRtex SUCOAS TKT1,12,0.07228086,2.39924883,0.0570715401006574,1.25279506186546
ABTA ACACT5r CYTK1 MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPS PYRtex SUCOAS TKT1,13,0.07249711,2.39829921,0.0570504120784954,1.25241280819655
ABTA ACACT5r CYTK1 MTHFD/MTHFC NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,12,0.07289822,2.39653773,0.0570107198776596,1.25170507385661
ABTA CYTK1 MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPS PYRtex SUCOAS TKT1,12,0.07302825,2.39596671,0.0569979425770165,1.25147591158984
ABTA CYTK1 MTHFD/MTHFC NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,11,0.07340657,2.39430536,0.0569607052883687,1.25081003607485
ABTA MTHFD/MTHFC NDPK2 PDH PFL PIt2rpp POX PPS PYRtex SUCOAS TKT1,11,0.07347898,2.39215922,0.0569126027606807,1.25081696166251
ABTA MTHFD/MTHFC NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1 TRPAS2,11,0.07374626,2.39167746,0.056901868650695,1.25029672865893
ABTA MTHFD/MTHFC NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,10,0.07386199,2.39046771,0.0568745846138182,1.25014541048871
ABTA MTHFD/MTHFC PDH PFL PIt2rpp POX PPS PYRtex SUCOAS TKT1,10,0.07408592,2.38455108,0.0567418208480099,1.25011773075217
ABTA MTHFD/MTHFC PDH PFL POX PPS PYRtex SUCOAS TKT1 TRPAS2,10,0.07435764,2.38403742,0.0567304180175702,1.24959222197862
ABTA MTHFD/MTHFC PDH PFL POX PPS PYRtex SUCOAS TKT1,9,0.0744753,2.38280554,0.0567026920334662,1.24943983983248
4HTHRA ABTA MTHFD/MTHFC NDPK2 PDH PFL POX PPS PYRtex SUCOAS TALA TKT2,12,0.07457144,2.37808824,0.0565967346211901,1.2495919957522
4HTHRA ABTA MTHFD/MTHFC NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT2,11,0.0747673,2.37719899,0.0565768725097735,1.24925287808144
ABTA G6PDH2r/PGL MTHFD/MTHFC PDH PFL POX PPS PYRtex SUCOAS,9,0.0748612,2.37715639,0.0565757695575277,1.24906180704135
4HTHRA 5DKGR ABTA AGDC ALLTN APG3PAT161 ARBTNexs/ARBTNabcpp FORtppi FUMt2_2pp LPLIPAL2G161 MTHFD/MTHFC PDH PFL POX PPC PPS PYRtex RPE SUCOAS,19,0.07493272,2.37610944,0.0565523312112521,1.2489921254821
