ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
FORtppi FRK GLCptspp GLCt2pp Htex O2tex PDH UDCPDPpp,8,0.01595389,9.85508158,1.79688161546401,0.992866000801583
FE3tex FRK GLCptspp GLCt2pp Htex O2tex PDH UDCPDPpp,8,0.01594791,9.85483215,1.79690178487718,0.992873532135428
E4PD/PERD/OHPBAT FE3tex FRK GLCptspp GLCt2pp Htex O2tex PDH UDCPDPpp,9,0.01594791,9.85483101,1.79690187706222,0.99287353759259
FRK GLCptspp GLCt2pp Htex O2tex PDH UDCPDPpp,7,0.0159555,9.85476314,1.79690736534536,0.99286581863587
E4PD/PERD/OHPBAT FRK GLCptspp GLCt2pp Htex O2tex PDH UDCPDPpp,8,0.01595549,9.85476201,1.79690745672305,0.992865834643912
ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI PPKr TRDR VALt2rpp,10,0.02288656,9.84457087,1.59286705505732,1.0012794128837
5DGLCNR FRK H2tex/H2tpp Htex O2tex PDH POR5 PPKr,8,0.03887802,9.74482679,1.57397975875157,0.987550479421385
5DGLCNR E4PD/PERD/OHPBAT FRK H2tex/H2tpp Htex O2tex PDH POR5 PPKr,9,0.03887757,9.74482108,1.57398009507631,0.987550967220957
5DGLCNR ACALDtex/ACALDtpp ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGCD PPKr,9,0.03930014,9.73310161,1.57467121521194,0.987154189573277
5DGLCNR ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGCD PPKr,10,0.03929981,9.73309216,1.57467177316854,0.987154566882481
5DGLCNR ACALDtex/ACALDtpp ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGCD PPKr RPE,10,0.03900452,9.72783485,1.57498234871864,0.987480622346962
5DGLCNR ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGCD PPKr RPE,11,0.03900413,9.72782446,1.57498296284018,0.987481065847057
5DGLCNR FORtppi FRK HADPCOADH/HADPCOADH3 Htex O2tex PACCOAL PDH POR5,9,0.04217634,9.72317847,1.57525770479867,0.984203322130325
5DGLCNR FORtppi FRK H2tex/H2tpp Htex O2tex PACCOAL PDH POR5,9,0.04217634,9.72317847,1.57525770479867,0.984203322130325
5DGLCNR FORtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PACCOAL PDH POR5,9,0.04217634,9.72317847,1.57525770479867,0.984203322130325
5DGLCNR E4PD/PERD/OHPBAT FORtppi FRK H2tex/H2tpp Htex O2tex PACCOAL PDH POR5,10,0.04217591,9.72317192,1.57525809232014,0.984203793234564
5DGLCNR ACALDtex/ACALDtpp ALCD2x/ETOHtex FRK HACD6 HADPCOADH/HADPCOADH3 Htex O2tex PPKr,9,0.03902591,9.70631796,1.5762569651077,0.987539705845585
5DGLCNR ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HACD6 HADPCOADH/HADPCOADH3 Htex O2tex PPKr,10,0.03902559,9.70630879,1.57625750952438,0.98754007368958
5DGLCNR ACALDtex/ACALDtpp ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PPKr,8,0.03950812,9.70268924,1.57647248011831,0.987052909185256
5DGLCNR ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PPKr,9,0.03950778,9.70267999,1.57647302969538,0.987053298386432
5DGLCNR FRK H2tex/H2tpp Htex O2tex PDH POR5 PPKr UDCPDPpp,9,0.03651424,9.7016313,1.57653534308194,0.990167052253227
5DGLCNR E4PD/PERD/OHPBAT FRK H2tex/H2tpp Htex O2tex PDH POR5 PPKr UDCPDPpp,10,0.03651385,9.70162641,1.57653563367835,0.990167476458219
5DGLCNR ACALDtex/ACALDtpp ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PPKr RPE,9,0.03920937,9.69762478,1.57677353546772,0.987383054312757
5DGLCNR ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PPKr RPE,10,0.03920898,9.69761464,1.57677413855249,0.987383499318875
5DGLCNR FORtppi FRK H2tex/H2tpp Htex O2tex PACCOAL PDH POR5 UDCPDPpp,10,0.0398055,9.67473743,1.57813799810792,0.986856137371992
