,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'DHNPA2r', 'THZPSN', 'RPI'}",3,0.00048786608199947014,0.0958577270860545,0.0,0.034486075949241135
1,"{'DHNPA2r', 'ACOAD2f', 'THZPSN'}",3,2.1858568288735114e-09,0.28311483273893845,0.0,0.03448607594932618
2,"{'E4PD', '4HTHRK', 'GLUDy'}",3,0.7689448524342266,0.21446234305656742,0.0,3.238840579710146
3,"{'ACOAD2f', 'THZPSN', 'ACACT3r'}",3,0.0,0.28311483273594207,0.0,0.034486075949363926
4,"{'RPI', 'AGMHE', 'ACACT3r'}",3,1.0910761183424711e-10,0.0932647292331061,0.0,0.034486075949524464
5,"{'DHNPA2r', 'HACD3', 'DHNPA2', 'RPI'}",4,2.25112950926201,0.03088572008798318,0.0,3.2459428571428584
6,"{'RPI', 'THZPSN3', 'THZPSN', 'TPI'}",4,0.7680318199500199,0.0744946958922817,0.0,3.2459428571428575
7,"{'E4PD', 'ACOAD2f', 'THZPSN', '4HTHRK'}",4,0.7690154825142868,0.2199877869882712,0.0,3.245942857142858
8,"{'E4PD', 'PDH', '4HTHRK', 'ACACT3r'}",4,0.7891477060131404,0.2177841042081054,0.0,3.245942857142856
9,"{'DHNPA2r', 'DHNPA2', 'E4PD', 'ACACT3r'}",4,2.2427983180201343,0.09373010617355237,0.0,3.245942857142856
