,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'E4PD', 'GCALDD'}",2,1.5354749101892644,0.15817933704756962,0.0,3.2459428571428584
1,"{'ECOAH1', 'NDPK2', 'IDOND'}",3,-1.9571677611907035e-11,0.28265339353069147,0.0,0.03448607594933173
2,"{'ECOAH1', 'NDPK2', 'ECOAH2'}",3,0.0,0.28265339352907015,0.0,0.034486075949352823
3,"{'NDPK2', 'ECOAH2', 'IDOND'}",3,0.0,0.2826533935291022,0.0,0.03448607594930586
4,"{'ECOAH1', 'ECOAH2', 'IDOND'}",3,0.0,0.28312229041692016,0.0,0.034486075949335504
5,"{'ECOAH1', 'ECOAH2', 'NDPK6'}",3,0.0,0.2831222904169167,0.0,0.0344860759493919
6,"{'NDPK2', 'IDOND', 'NDPK6'}",3,0.0,0.28499450532235704,0.0,0.03448607594937214
7,"{'NDPK2', 'AI2K', 'PGI'}",3,3.2868388597345665e-09,0.2849838682569906,0.0,0.03448607594940123
8,"{'PGI', 'ECOAH2', 'NDPK6'}",3,2.973024493257981e-09,0.283122290152989,0.0,0.034486075949412553
9,"{'ECOAH1', 'IDOND', 'NDPK6'}",3,0.0,0.28312229041691195,0.0,0.034486075949395234
