,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'OHPBAT', 'GLUDy'}",2,7.099515642039478e-09,0.27600364616904244,0.0,0.03448607594933506
1,"{'ACACT7r', 'IDOND'}",2,0.0,0.285138919895812,0.0,0.034486075949313966
2,"{'ICHORS_copy2', 'IDOND'}",2,0.0,0.28547120832062756,0.0,0.03448607594940456
3,"{'ICHORS_copy2', 'ACACT7r'}",2,0.0,0.285138919895806,0.0,0.03448607594937214
4,"{'ICHORS_copy2', 'GLUDy'}",2,0.0,0.2760038126111554,0.0,0.03448607594940134
5,"{'IDOND', 'GLUDy'}",2,0.0,0.2760038126111599,0.0,0.03448607594938902
6,"{'OHPBAT', 'ACACT7r'}",2,-1.1547873768336103e-11,0.28513874243063914,0.0,0.03448607594938191
7,"{'LDH_D', 'GLUDy'}",2,0.0,0.2760038126111458,0.0,0.034486075949439865
8,"{'OHPBAT', 'LDH_D'}",2,-1.924926884555589e-11,0.2854710304422376,0.0,0.03448607594940134
9,"{'ICHORS_copy2', 'OHPBAT', 'ACACT7r', 'IDOND'}",4,0.0,0.28513874242968873,0.0,0.034486075949409
