,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'TMDPP', 'ACACT4r', 'PGL', 'S7PI'}",4,1.4526904124068096e-09,0.2839623473133234,0.0,0.03448607594931585
1,"{'FUM', 'NDPK2', 'DADK', 'FACOAE80'}",4,8.046982920501336e-11,0.04353397489313411,0.0,0.006406509945765129
2,"{'FUM', 'NDPK2', 'KAT1', 'FACOAE140'}",4,8.547090146748815e-09,0.04353397436331521,0.0,0.006406509945756691
3,"{'FUM', 'NDPK2', 'FACOAE80', 'FE3Ri'}",4,2.077202715389248e-10,0.04353397488448822,0.0,0.006406509945805581
4,"{'CTECOAI6', 'PTAr', 'PUNP1', 'NDPK2', 'CTECOAI7'}",5,1.722014530969318e-09,0.28427879750548757,0.0,0.034486075949396566
5,"{'FRK', 'PAI2T', 'FUM', 'FACOAE140', 'ACGAMK'}",5,2.0050228144441462e-10,0.0436356114040973,0.0,0.006406509945608637
6,"{'PAI2T', 'FUM', 'ADPT', 'PUNP1', 'S7PI'}",5,6.227764970390126e-10,0.04363459030061059,0.0,0.0064065099457626395
7,"{'HACD4', 'PYAM5PO', 'PAI2T', 'FUM', 'S7PI'}",5,1.5718836540051274e-05,0.04331099470115425,0.0,0.006406509945747983
8,"{'HACD2', 'FUM', 'NDPK2', 'FACOAE180', 'S7PI'}",5,1.2730901380840487e-10,0.043031571601130685,0.0,0.006406509945751306
9,"{'ACACT4r', 'PAI2T', 'LCARSyi', 'HPYRI', 'S7PI'}",5,1.8931523726450905e-07,0.2839517904528464,0.0,0.03448607594937769
