,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'GLYK', 'THZPSN'}",2,9.159287162640185e-05,0.2854636263829868,0.0,0.03448607594939945
1,"{'ECOAH4', 'ACACT2r'}",2,0.0,0.28312229041692294,0.0,0.03448607594938835
2,"{'PERD', 'ACACT2r'}",2,8.840629561746027e-09,0.2831221153492572,0.0,0.03448607594938791
3,"{'ALDD19xr', 'PERD'}",2,0.0,0.2854710304406373,0.0,0.03448607594940056
4,"{'ALDD19xr', 'ECOAH4'}",2,-1.9377388582597632e-11,0.2839623473149118,0.0,0.03448607594935704
5,"{'3AMACHYD', 'ACACT2r'}",2,1.5715819756678684e-09,0.28312229041692716,0.0,0.03448607594933628
6,"{'ALDD19xr', 'DHBD'}",2,0.0,0.2854712083206201,0.0,0.034486075949379025
7,"{'PERD', 'DHBD'}",2,-1.1687539824833948e-11,0.2854710304416098,0.0,0.03448607594939246
8,"{'PPM', 'PGL', 'GMHEPK'}",3,9.160343188341358e-05,0.2854636262296197,0.0,0.034486075949405004
9,"{'PERD', 'ECOAH4', 'GCALDD'}",3,1.5355906180454388,0.1573431297840765,0.0,3.2459428571428575
