Strategy,Flux,Biomass,N_of_deletions,C_limit
['ACACT7r'],0.0,0.285138919895819,1,9
"['THZPSN', 'FBA3']",9.159287158477802e-05,0.2854636263829879,2,9
"['THZPSN', 'PDH']",9.272045652508608e-05,0.2826345321766229,2,9
"['THZPSN', 'NDPK8', 'KDOCT2']",9.159287144211437e-05,0.2854636263830006,3,9
"['PPKr', 'TPI', 'HACD6']",2.808292265399359e-09,0.2804348651426787,3,9
"['HACD6', 'DHBD', 'PPM2']",0.0,0.2845165957378556,3,9
"['PPKr', 'TPI', 'PPM2', 'RPE']",0.0,0.2800257186210948,4,9
"['GPDDA4pp', 'DHBD', 'TPI', 'RPE']",1.4944643439429584e-10,0.2838619008749321,4,9
"['PPKr', 'DHBD', 'PPM2', 'RPE']",-1.9667378836629723e-11,0.2801879741683722,4,9
"['PPKr', 'TPI', 'PPM2', 'DHBD']",-1.9454882149716468e-11,0.2814278178651228,4,9
"['HACD6', 'DHBD', 'PPM2', 'RPE']",0.0,0.2830836288048192,4,9
"['PPKr', 'TPI', 'RPE', 'HACD6']",7.214566721813752e-10,0.2790426181860413,4,9
"['HACD6', 'TPI', 'PPM2', 'DHBD']",0.0,0.2843492895941955,4,9
"['PPKr', 'DHBD', 'RPE', 'HACD6']",4.882849680143407e-10,0.2792037361974243,4,9
"['DHNPA2r', 'THZPSN', 'RPI']",0.0004878660819994,0.0958577270860545,3,9
"['DHNPA2r', 'ACOAD2f', 'THZPSN']",2.1858568288735114e-09,0.2831148327389384,3,9
"['E4PD', '4HTHRK', 'GLUDy']",0.7689448524342266,0.2144623430565674,3,9
"['ACOAD2f', 'THZPSN', 'ACACT3r']",0.0,0.283114832735942,3,9
"['ACACT3r', 'AGMHE', 'RPI']",1.0910761183424711e-10,0.0932647292331061,3,9
"['DHNPA2r', 'HACD3', 'DHNPA2', 'RPI']",2.25112950926201,0.0308857200879831,4,9
"['TPI', 'THZPSN3', 'THZPSN', 'RPI']",0.7680318199500199,0.0744946958922817,4,9
"['E4PD', 'ACOAD2f', 'THZPSN', '4HTHRK']",0.7690154825142868,0.2199877869882712,4,9
"['E4PD', 'ACACT3r', '4HTHRK', 'PDH']",0.7891477060131404,0.2177841042081054,4,9
"['DHNPA2r', 'DHNPA2', 'E4PD', 'ACACT3r']",2.2427983180201343,0.0937301061735523,4,9
"['PERD', 'GND', 'TALA', '4HTHRA']",0.7690394591298034,0.2014097943944299,4,9
"['TKT1', 'PERD', 'GND', '4HTHRA']",0.7690394591298801,0.2014097943944206,4,9
"['TKT1', 'PERD', 'GND', 'TALA']",-2.1260104787756973e-11,0.2592052568090303,4,9
"['TKT1', 'GND', 'TALA', '4HTHRA']",0.0,0.2592146612588797,4,9
"['ENO', 'GND', 'GALUi', 'TALA']",9.80321601673495e-10,0.2801362172243928,4,9
"['CYTK2', 'PYK4', 'THZPSN', 'HACD1']",0.0,0.2831148327359252,4,9
"['ECOAH3', 'ACACT6r', 'THZPSN', 'DCTPD']",2.0353127183625478e-08,0.2831148327286952,4,9
"['PERD', 'FACOAE140', 'TKT1', '4HTHRA', 'GND']",0.7690394591299684,0.2014097943944147,5,9
"['PERD', 'TKT1', '4HTHRA', 'ENO', 'GND']",0.7690394595736347,0.1988222141273173,5,9
"['PERD', 'TALA', 'ECOAH3', '4HTHRA', 'GND']",0.7690394593673532,0.1999038388116996,5,9
['ECOAH3'],1.9771584369721038e-10,0.2831222904178724,1,9
['PPM2'],0.0,0.285471208320625,1,9
"['PERD', 'GCALDD', 'GLUSy']",1.535473828976916,0.158179337049119,3,9
"['GMHEPAT', 'PSP_L', 'PAI2I']",5.700253824514334e-09,0.2824030610374853,3,9
"['GMHEPAT', 'PPKr', 'HACD3']",2.2998847271082923e-10,0.2797141057519553,3,9
"['VALTA', 'PPKr', 'HACD3', 'PPM2']",2.4613200366729865e-10,0.2797141057840095,4,9
"['GMHEPAT', 'HACD3', 'POAACR', 'PPM2']",1.1479619388410357e-07,0.2831222904169157,4,9
"['PERD', 'FACOAE120', 'SERASr', 'PGCD']",1.8053632080391287e-10,0.2823223874993293,4,9
"['ECOAH3', 'GCALDD', 'PPS', 'PERD']",1.5356567124190703,0.1568775728913062,4,9
"['ECOAH5', 'ECOAH3', 'PPKr', 'DHBS']",8.061392242193231e-08,0.2797141011078915,4,9
"['GCALDD', '4HTHRK']",2.242597965723057,0.0945161913211478,2,9
"['GCALDD', 'RPI']",0.0,0.095871289762945,2,9
"['4HTHRK', 'RPI']",0.0,0.095852199308737,2,9
"['GCALDD', 'NDPK3']",0.0,0.285325000295661,2,9
"['NDPK3', '4HTHRK']",-1.15309983783618e-11,0.2853247337499582,2,9
"['NDPK3', 'ALCD19']",0.0,0.2853250002956516,2,9
"['4HTHRK', 'ALCD19']",0.0,0.2854709415007362,2,9
"['ALCD19', 'RPI']",0.0,0.0958712897629415,2,9
"['GCALDD', 'ALCD19']",0.0,0.2854712083206243,2,9
"['GCALDD', 'RPI', '4HTHRK', 'ACGAMK', 'NDPK3']",2.2544550678180317,0.0316439046752148,5,9
