Strategy,Flux,Biomass,N_of_deletions,C_limit
"['E4PD', 'NAMNPP', 'PPKr', 'AGMHE', '4HTHRK']",0.7689454069270782,0.2188042338739383,5,12
"['E4PD', 'TALA', '4HTHRK', 'KDOPS', 'MDDEP4pp']",0.7689470594771622,0.2212550397756432,5,12
"['GCALDD', '4HTHRA', 'TRPAS2']",2.242850213316052,0.09447116663615,3,12
"['MCTP2App', 'PGMT', 'PAI2T', 'TRPS3']",8.551318542160401e-10,0.2853245923962183,4,12
"['TRPAS2', 'GMHEPK', 'XAND', 'ACACT2r']",1.455196070310194e-07,0.2829885639666584,4,12
"['NDPK2', 'GCALDD', '4HTHRA', 'ACACT1r']",2.2444453434971123,0.0935829991097391,4,12
"['NDPK2', 'MAN6PI', 'GCALDD', '4HTHRA']",2.2443505331168927,0.0943583184544097,4,12
"['PYK2', 'PGMT', 'GCALDD', '4HTHRA']",2.242596996661149,0.0945161913210853,4,12
"['GCALDD', 'KDOCT2', '4HTHRA', 'PYK2', 'ECOAH2']",2.242706396656352,0.093738286094485,5,12
"['PPM', 'GCALDD', '4HTHRA', 'NDPK2', 'GRXR']",2.244351500560456,0.0943583184544424,5,12
"['GMHEPAT', 'GCALDD', 'TRPAS2', '4HTHRA', 'PGL']",2.2428511819158703,0.0944711666362496,5,12
"['ACACT2r', 'KDOCT2', 'TRPAS2', 'NDPK2', 'PGL']",1.668794311626698e-07,0.282520109633905,5,12
"['TALA', 'GCALDD', 'FBA3']",3.8705895377688655e-08,0.2847451007830728,3,12
"['ECOAH3', 'KDOPP', 'DHBS']",5.3071289585204795e-09,0.2831222898744735,3,12
"['NDPK2', 'TALA', 'KDOCT2']",1.2459736353775952e-08,0.2842714130467613,3,12
"['HEPTA1', 'DHBS', 'ACACT1r']",1.088665158022195e-09,0.283122290377769,3,12
"['NDPK2', 'GMHEPPA', 'GCALDD']",1.3014073374506552e-08,0.2849945049324016,3,12
"['ECOAH5', 'ECOAH3', 'TALA', 'ACACT1r']",1.1047742321655836e-08,0.2824086555393796,4,12
"['E4PD', 'ECOAH7', 'KDOPS', 'GCALDD']",1.535500628780306,0.1579951834390579,4,12
"['HEPTA1', 'E4PD', 'GCALDD', 'ACACT1r']",1.5356567124369846,0.1568775728897072,4,12
"['E4PD', 'GCALDD', 'ACACT1r', 'DHBS', 'PSERT']",1.5253984737084667,0.1552119142064885,5,12
"['E4PD', 'TALA', 'FBA3', 'GMHEPPA', 'ALCD2x']",5.736637831432745e-10,0.2847454992612448,5,12
"['FBA', 'ALCD19']",1.2261011761438569e-08,0.2854712076397874,2,11
"['ACOATA', 'FBA']",-1.9397816686250732e-11,0.2854712083222314,2,11
"['ACOATA', 'ALCD19']",0.0,0.2854712083206407,2,11
"['ACOATA', 'ACOAD8f']",0.0,0.2854712083206361,2,11
"['ACOAD8f', 'ALCD19']",0.0,0.2854712083206237,2,11
"['ACOAD8f', 'FBA']",0.0,0.2854712083206195,2,11
"['ACOAD2f', 'ACOAD8f']",0.0,0.2831222904168982,2,11
"['ACOAD2f', 'FBA']",0.0,0.2831222904169229,2,11
"['ACOATA', 'ACOAD2f']",0.0,0.2831222904169201,2,11
"['ACOAD2f', 'ALCD19']",0.0,0.2831222904169304,2,11
"['FUM', 'ADPT', 'PPM']",1.6891695461270805e-06,0.0436365750376399,3,11
"['FUM', 'GMHEPAT', 'KDOPS']",2.5643883380413707e-08,0.0436366897843636,3,11
"['FUM', 'CBMKr', 'HXAND']",4.135714215536268e-09,0.0433157631121475,3,11
"['PPM', 'CBMKr', 'ALCD2x']",1.0939590899816663e-09,0.2839796094503148,3,11
"['PPM', 'ALCD2x', 'GAPP']",2.474739024815875e-08,0.2854712080081032,3,11
"['FUM', 'GMHEPAT', 'PPM']",4.0728048364413455e-10,0.0436366900643823,3,11
"['CBMKr', 'GMHEPAT', 'ALCD2x']",2.0202151063131166e-10,0.2839796094172655,3,11
"['FUM', 'PGI', 'NDPK4']",1.5439404076511738e-10,0.0436299396003282,3,11
"['FUM', 'DHBS', 'GMHEPAT']",1.5572823031106962e-09,0.0436366900561037,3,11
