,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'TKT1', 'TRPAS2'}",2,8.238885129685514e-10,0.2846104345706715,0.0,0.0344860759493304
1,"{'SERASr', 'CTECOAI6'}",2,-1.9409807094916687e-11,0.285471208322232,0.0,0.03448607594937436
2,"{'TKT1', 'SERASr'}",2,0.0,0.2847456983790868,0.0,0.03448607594938835
3,"{'TKT1', 'ACACT1r'}",2,-1.9664936345975548e-11,0.28240865573485163,0.0,0.034486075949324624
4,"{'CTECOAI6', 'ACACT1r'}",2,0.0,0.2831222904169159,0.0,0.03448607594940789
5,"{'TKT1', 'SERASr', 'CTECOAI6'}",3,2.304112456386065e-10,0.2847456983620467,0.0,0.03448607594938258
6,"{'DHNPA2r', 'SERASr', 'TRPAS2'}",3,3.4741560739348643e-09,0.28533525465329457,0.0,0.034486075949404116
7,"{'DHNPA2r', 'DHNPA2', 'ACACT1r'}",3,2.2427073577321135,0.09373828609547079,0.0,3.245942857142856
8,"{'KDOPP', 'GMHEPK', 'CTECOAI6', 'TRPAS2'}",4,2.493266038072761e-09,0.28533525448206454,0.0,0.03448607594932751
9,"{'DHNPA2r', 'DHNPA2', 'ACACT5r', 'GLU5K'}",4,2.2426659894104457,0.09403246333097735,0.0,3.245942857142856
