,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,{'THZPSN'},1,9.159287131825598e-05,0.2854636263830102,0.0,0.03448607594938258
1,{'5DGLCNR'},1,0.0,0.2854712083206304,0.0,0.0344860759493717
2,"{'THZPSN', 'GMHEPPA'}",2,9.159287148603605e-05,0.2854636263829967,0.0,0.034486075949389905
3,"{'PERD', '5DGLCNR'}",2,0.0,0.2854710304406414,0.0,0.03448607594937281
4,"{'PGM', 'GMHEPPA'}",2,1.4841816664556973e-09,0.2820918460902148,0.0,0.03448607594940145
5,"{'5DGLCNR', 'ACACT3r'}",2,0.0,0.2831222904169116,0.0,0.034486075949407224
6,"{'HEPKA1', 'HSST'}",2,4.072440000458741e-09,0.2854712079835183,0.0,0.03448607594937281
7,"{'PERD', 'ACACT3r'}",2,0.0,0.2831221154521568,0.0,0.03448607594938813
8,"{'VPAMTr', 'ACACT3r'}",2,1.1131939814390535e-09,0.28312229033204356,0.0,0.034486075949377026
9,"{'PERD', 'VPAMTr'}",2,0.0,0.285471030440652,0.0,0.03448607594933217
