,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'PERD', 'TALA', 'GND', '4HTHRA'}",4,0.7690394591298034,0.20140979439442996,0.0,3.2459428571428512
1,"{'TKT1', 'PERD', 'GND', '4HTHRA'}",4,0.7690394591298801,0.20140979439442067,0.0,3.2459428571428566
2,"{'TKT1', 'PERD', 'TALA', 'GND'}",4,-2.1260104787756973e-11,0.25920525680903034,0.0,0.0344860759493848
3,"{'TKT1', 'TALA', 'GND', '4HTHRA'}",4,0.0,0.2592146612588797,0.0,0.03448607594941133
4,"{'TALA', 'ENO', 'GALUi', 'GND'}",4,9.80321601673495e-10,0.28013621722439286,0.0,0.03448607594937769
5,"{'CYTK2', 'PYK4', 'THZPSN', 'HACD1'}",4,0.0,0.2831148327359252,0.0,0.03448607594936792
6,"{'ECOAH3', 'ACACT6r', 'THZPSN', 'DCTPD'}",4,2.0353127183625475e-08,0.28311483272869525,0.0,0.03448607594936992
7,"{'PERD', 'FACOAE140', 'TKT1', '4HTHRA', 'GND'}",5,0.7690394591299684,0.2014097943944147,0.0,3.2459428571428575
8,"{'PERD', 'TKT1', '4HTHRA', 'ENO', 'GND'}",5,0.7690394595736347,0.19882221412731738,0.0,3.245942857142858
9,"{'PERD', 'TALA', 'ECOAH3', '4HTHRA', 'GND'}",5,0.7690394593673532,0.19990383881169965,0.0,3.2459428571428557
