Reaction,Presence,Normalised_max_Flux,Normalised_max_biomass
PDH,0.03980099502487562,0.3500392255663427,0.9900631795252103
TKT1,0.05472636815920398,0.3411198877065878,0.9974585530021194
GND,0.03980099502487562,0.3411198877065878,0.981311631630438
TALA,0.06965174129353234,0.34111988761508827,0.9974578554962548
FACOAE140,0.014925373134328358,0.3411198875097924,0.7055345286011957
THZPSN,0.20398009950248755,0.3411092522942035,0.9999734406144967
ACOAD2f,0.03482587064676617,0.3411092522942035,0.9917717869997446
TRDR,0.01990049751243781,0.34108082045717963,0.754074804920692
ACOAD4f,0.014925373134328358,0.34107911831844523,0.7729198067029414
ACACT6r,0.01990049751243781,0.3410790389127316,0.9966560109840363
MDDEP4pp,0.009950248756218905,0.3410789021496825,0.9999999999273504
HACD1,0.009950248756218905,0.34107884387729326,0.9917456628905954
PGCD,0.01990049751243781,0.34107838805378776,0.9889697428906521
PPKr,0.0845771144278607,0.34107831647244075,0.9864101688028318
NAMNPP,0.009950248756218905,0.3410781691343709,0.9999734406088984
AGMHE,0.024875621890547265,0.3410781691343709,0.9999999999247189
A5PISO,0.12437810945273632,0.3410779422836257,1.0
ECOAH8,0.024875621890547265,0.3410778177776355,0.9999999999108978
HEPTB2,0.004975124378109453,0.3410778177775435,0.7729198067029354
OHPBAT,0.03482587064676617,0.34107759527055737,0.9999993768820757
ACOAD8f,0.05472636815920398,0.34107759414678823,0.9999999999865896
TPI,0.05472636815920398,0.3406729328579422,0.9960699408642509
THZPSN3,0.004975124378109453,0.3406729328579422,0.2609534472128328
DMPPS,0.004975124378109453,0.0789373056444633,0.11021612649866774
FUM,0.1791044776119403,0.0789373056444633,0.15285846284899657
IPDDI,0.03980099502487562,0.0789373056444633,0.9999999999921506
PYDXNK,0.004975124378109453,0.0002164008894441972,0.3357877232127261
CYTK1,0.05970149253731343,0.00020945757722992892,0.998126488942308
NTD4,0.004975124378109453,0.00020859895774456765,0.3313687368131313
PMANM,0.03482587064676617,0.0002039080561930298,0.999999999986564
PGM,0.029850746268656716,4.1912499886648935e-05,0.9881621609866732
