,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,{'ECOAH3'},1,1.977158436972104e-10,0.2831222904178724,0.0,0.0344860759493717
1,{'PPM2'},1,0.0,0.285471208320625,0.0,0.03448607594933961
2,"{'PERD', 'GCALDD', 'GLUSy'}",3,1.535473828976916,0.15817933704911902,0.0,3.2459428571428575
3,"{'GMHEPAT', 'PSP_L', 'PAI2I'}",3,5.700253824514334e-09,0.2824030610374853,0.0,0.03448607594936004
4,"{'GMHEPAT', 'PPKr', 'HACD3'}",3,2.2998847271082923e-10,0.2797141057519553,0.0,0.034486075949384576
5,"{'VALTA', 'PPKr', 'HACD3', 'PPM2'}",4,2.461320036672987e-10,0.2797141057840095,0.0,0.03448607594937925
6,"{'GMHEPAT', 'HACD3', 'POAACR', 'PPM2'}",4,1.1479619388410356e-07,0.2831222904169157,0.0,0.03448607594939723
7,"{'PERD', 'FACOAE120', 'SERASr', 'PGCD'}",4,1.8053632080391287e-10,0.28232238749932936,0.0,0.03448607594933706
8,"{'ECOAH3', 'PERD', 'GCALDD', 'PPS'}",4,1.5356567124190705,0.15687757289130627,0.0,3.245942857142857
9,"{'ECOAH3', 'DHBS', 'PPKr', 'ECOAH5'}",4,8.061392242193231e-08,0.2797141011078915,0.0,0.03448607594934239
