,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'PPKr', 'TPI', 'HACD6'}",3,2.808292265399359e-09,0.2804348651426787,0.0,0.034486075949355266
1,"{'HACD6', 'DHBD', 'PPM2'}",3,0.0,0.28451659573785565,0.0,0.034486075949417216
2,"{'PPKr', 'TPI', 'PPM2', 'RPE'}",4,0.0,0.2800257186210948,0.0,0.03448607594941833
3,"{'GPDDA4pp', 'DHBD', 'TPI', 'RPE'}",4,1.4944643439429584e-10,0.2838619008749321,0.0,0.03448607594933861
4,"{'PPKr', 'DHBD', 'PPM2', 'RPE'}",4,-1.9667378836629723e-11,0.2801879741683722,0.0,0.03448607594940212
5,"{'PPKr', 'TPI', 'PPM2', 'DHBD'}",4,-1.9454882149716468e-11,0.2814278178651228,0.0,0.03448607594939879
6,"{'HACD6', 'DHBD', 'PPM2', 'RPE'}",4,0.0,0.28308362880481924,0.0,0.034486075949329176
7,"{'PPKr', 'TPI', 'RPE', 'HACD6'}",4,7.214566721813753e-10,0.27904261818604137,0.0,0.034486075949351935
8,"{'HACD6', 'TPI', 'PPM2', 'DHBD'}",4,0.0,0.28434928959419553,0.0,0.034486075949342165
9,"{'PPKr', 'DHBD', 'RPE', 'HACD6'}",4,4.882849680143408e-10,0.2792037361974243,0.0,0.034486075949384895
