,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'PERD', 'PGCD', '4HTHRA'}",3,0.7689451322674142,0.21944297095169174,0.0,3.245942857142858
1,"{'CYTK1', 'A5PISO', '4HTHRA'}",3,2.82250667282824e-10,0.28493610897313587,0.0,0.034486075949364814
2,"{'ACOAD3f', 'PERD', 'PGCD', '4HTHRK'}",4,0.768945900471067,0.21765646817646153,0.0,3.2459428571428575
3,"{'ACOAD3f', 'TRDR', 'PERD', '4HTHRA'}",4,0.7689513842152208,0.2152666457277418,0.0,3.2459428571428575
4,"{'CYTK1', 'AACPS8', 'FUM', 'TRDR'}",4,9.701693670649547e-09,0.04264257740223465,0.0,0.00640650994575076
5,"{'ACOAD3f', 'A5PISO', 'PERD', '4HTHRA'}",4,0.7689448955022661,0.21999358200479455,0.0,3.2459428571428575
6,"{'CYTK1', 'ACOAD3f', 'MALS', 'MMM'}",4,1.1370957508916035e-09,0.2567645651766417,0.0,0.030404705882417282
7,"{'PERD', 'TRDR', 'HACD1', '4HTHRK'}",4,0.768946928104679,0.21526664572774473,0.0,3.2459428571428575
8,"{'FUM', 'TRDR', 'GMHEPPA', 'S7PI'}",4,4.240519047016278e-10,0.042753195749174126,0.0,0.006406509945714426
9,"{'A5PISO', 'MALS', 'PGCD', 'CBMD'}",4,2.106389729306102e-09,0.25396762812231966,0.0,0.030404705882391303
