,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'ICL', 'THZPSN'}",2,4.759265998165749e-05,0.18785715850816292,0.0,0.016356962025356303
1,"{'FUM', 'RPE'}",2,1.1683054523814462e-10,0.02934972512281598,0.0,0.004268070175447836
2,"{'ECOAH7', 'RPE'}",2,0.0,0.28369969329474587,0.0,0.034486075949364814
3,"{'DADA', 'MALS'}",2,-1.8685941682861085e-11,0.2592654820893091,0.0,0.03040470588236599
4,"{'TKT2', 'XYLI2'}",2,0.0,0.283315763029598,0.0,0.034486075949354045
5,"{'FUM', 'IPDDI'}",2,0.0,0.04363669009212334,0.0,0.006406509945617035
6,"{'ICL', 'IPDDI'}",2,1.2372780534494754e-10,0.1878626245957832,0.0,0.0163569620253039
7,"{'ENO', 'THZPSN', 'G3PD2'}",3,9.44354733276719e-05,0.28192179634513576,0.0,0.034486075949385686
8,"{'E4PD', 'G3PD2', 'RPE'}",3,9.227157996005708e-10,0.28386360643326103,0.0,0.03448607594932973
9,"{'FUM', 'ECOAH7', 'DMPPS', 'IPDDI'}",4,0.17796060875006126,0.031463530808416754,0.0,0.6406509945750452
