,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,{'THZPSN'},1,9.159285210455243e-05,0.28546362638459244,0.0,0.03448607594938258
1,{'PTAr'},1,0.0,0.2854712083206288,0.0,0.03448607594939279
2,{'ECOAH2'},1,-1.932792814685058e-11,0.2831222904185076,0.0,0.03448607594943742
3,{'ACACT6r'},1,-1.936450999551198e-11,0.28451659573945354,0.0,0.03448607594934916
4,{'HACD2'},1,0.0,0.2831222904169159,0.0,0.03448607594940789
5,{'PPK2r'},1,0.0,0.28547120832062656,0.0,0.03448607594936659
6,{'ACACT4r'},1,0.0,0.2839623473133166,0.0,0.03448607594937947
7,{'ECOAH6'},1,0.0,0.2845165957378598,0.0,0.03448607594928754
8,{'LSERDHr'},1,0.0,0.28547120832062756,0.0,0.0344860759493546
9,"{'THZPSN', 'PTAr'}",2,9.159285222183015e-05,0.2854636263845898,0.0,0.03448607594936881
