,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,{'ACACT4r'},1,4.400574574181526e-08,0.28396234731332554,0.0,0.03448607594937947
1,{'ACACT8r'},1,-1.163646956570119e-11,0.285471208321589,0.0,0.03448607594938813
2,{'TRSARr'},1,0.0,0.285471208320633,0.0,0.03448607594937503
3,{'NDPK6'},1,0.0,0.2854712083206393,0.0,0.03448607594937414
4,{'LSERDHr'},1,0.0,0.28547120832062384,0.0,0.0344860759493546
5,{'CTECOAI7'},1,-1.9202417433916708e-11,0.2852913437571148,0.0,0.03448607594943964
6,{'CYTK1'},1,-1.924438386424754e-11,0.28493637485901585,0.0,0.03448607594942077
7,{'NADPHXE'},1,-1.9339196910550527e-11,0.2854712083222277,0.0,0.03448607594935815
8,{'DHNPA2r'},1,0.0,0.2854712083206293,0.0,0.0344860759493717
9,{'PPKr'},1,0.0,0.2815917027916833,0.0,0.0344860759494342
