,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'DHNPA2r', 'ENO', 'DHNPA2'}",3,2.24274589178987,0.09339787003554734,0.0,3.245942857142857
1,"{'PGMT', 'ACOAD5f', 'GLUDy'}",3,2.1588159260232942e-08,0.27488328805683604,0.0,0.034486075949365036
2,"{'ENO', 'KDOPP', 'ACOAD5f'}",3,2.540605237300042e-08,0.2809214486018631,0.0,0.034486075949324624
3,"{'ECOAH5', 'G6PDH2r', 'GMHEPPA'}",3,3.084284050380859e-09,0.2842726604072835,0.0,0.03448607594934372
4,"{'ECOAH5', 'PGMT', 'GMHEPPA'}",3,4.588400770444423e-09,0.28427266029590487,0.0,0.034486075949395234
5,"{'DHNPA2r', 'DHNPA2', 'ACOAD5f'}",3,2.2426537836416403,0.09411926062554818,0.0,3.245942857142857
6,"{'ENO', 'PGMT', 'DHBD'}",3,3.496438694128301e-08,0.28209184462509146,0.0,0.03448607594934708
7,"{'DHNPA2r', 'ACOAD3f', 'DHNPA2', 'GLUDy'}",4,2.2431326857425864,0.09065422012883671,0.0,3.2388405797101454
8,"{'DHNPA2', 'DHNPA2r', 'GLUDy', 'ECOAH5', 'ENO'}",5,2.24321953119569,0.08997313492563516,0.0,3.2388405797101436
9,"{'DHNPA2', 'DHNPA2r', 'NDPK4', 'ECOAH5', 'HACD3'}",5,2.242821567304624,0.0937280872348944,0.0,3.245942857142856
