,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'FBA', 'ALCD19'}",2,1.2261011761438567e-08,0.2854712076397874,0.0,0.03448607594937131
1,"{'ACOATA', 'FBA'}",2,-1.9397816686250735e-11,0.28547120832223144,0.0,0.03448607594941522
2,"{'ACOATA', 'ALCD19'}",2,0.0,0.2854712083206407,0.0,0.0344860759493395
3,"{'ACOATA', 'ACOAD8f'}",2,0.0,0.2854712083206361,0.0,0.03448607594936526
4,"{'ACOAD8f', 'ALCD19'}",2,0.0,0.2854712083206237,0.0,0.03448607594936659
5,"{'ACOAD8f', 'FBA'}",2,0.0,0.28547120832061956,0.0,0.034486075949373696
6,"{'ACOAD2f', 'ACOAD8f'}",2,0.0,0.2831222904168982,0.0,0.03448607594935171
7,"{'ACOAD2f', 'FBA'}",2,0.0,0.28312229041692294,0.0,0.034486075949326844
8,"{'ACOATA', 'ACOAD2f'}",2,0.0,0.28312229041692016,0.0,0.03448607594934949
9,"{'ACOAD2f', 'ALCD19'}",2,0.0,0.2831222904169304,0.0,0.03448607594933972
