,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'A5PISO', 'G6PDH2r', '4HTHRA', 'GGGABADr'}",4,2.9821833891219285e-10,0.2854709415007344,0.0,0.034486075949331285
1,"{'A5PISO', 'DADK', '4HTHRA', 'GGGABADr'}",4,-1.928812665141777e-11,0.2854709415023325,0.0,0.0344860759493123
2,"{'A5PISO', 'G6PDH2r', '4HTHRA', 'DADK'}",4,-1.9223511671384585e-11,0.2854709415023258,0.0,0.03448607594933689
3,"{'A5PISO', 'DADK', 'G6PDH2r', 'GGGABADr'}",4,-1.9338530776735752e-11,0.2854712083222258,0.0,0.03448607594940145
4,"{'DADK', 'G6PDH2r', '4HTHRA', 'GGGABADr'}",4,2.575244462121873e-10,0.2854709415016983,0.0,0.03448607594932507
5,"{'ACALD', 'A5PISO', 'DADK', 'GGGABADr'}",4,-1.9395929307108872e-11,0.2854712083222314,0.0,0.0344860759493717
6,"{'ACALD', 'G6PDH2r', '4HTHRA', 'DADK'}",4,-1.9258261652055353e-11,0.2854709415023258,0.0,0.03448607594937281
7,"{'BTDD_RR', 'A5PISO', 'G6PDH2r', 'NTPTP2'}",4,8.511733540217392e-10,0.28547120832446443,0.0,0.0
8,"{'ACALD', 'DADK', '4HTHRA', 'GGGABADr'}",4,1.281068306990818e-10,0.2854709414538021,0.0,0.03448607594938635
9,"{'ACALD', 'A5PISO', 'BTDD_RR', 'GGGABADr'}",4,0.0,0.285471208320625,0.0,0.0
