Strategy,Flux,Biomass,N_of_deletions,C_limit
['LSERDHr'],0.0,0.2854712083206275,1,10
"['THZPSN', 'PTAr']",9.159285222183016e-05,0.2854636263845898,2,10
"['GCALDD', 'E4PD']",1.5354738289765402,0.1581793370491535,2,10
"['CYTK1', 'NDPK2']",4.516552021271991e-09,0.284284213915953,2,10
"['ECOAH2', 'PTAr']",0.0,0.2831222904169226,2,10
"['CYTK1', 'PTAr']",0.0,0.2849363748574214,2,10
"['CYTK1', 'GCALDD']",0.0,0.2849363748574273,2,10
"['GCALDD', 'NDPK2']",0.0,0.284994505322354,2,10
"['PUNP5', 'GCALDD']",0.0,0.2854712083206406,2,10
"['GCALDD', 'E4PD', 'ECOAH2']",1.5356567124369027,0.1568775728897142,3,10
"['ECOAH2', 'NDPK2', 'PTAr']",0.0,0.2826533935290872,3,10
"['E4PD', 'NDPK2', 'GMHEPK']",3.322952579765115e-09,0.2849943276592146,3,10
"['OHPBAT', 'GLUDy']",7.099515642039478e-09,0.2760036461690424,2,10
"['IDOND', 'ACACT7r']",0.0,0.285138919895812,2,10
"['IDOND', 'ICHORS_copy2']",0.0,0.2854712083206275,2,10
"['ACACT7r', 'ICHORS_copy2']",0.0,0.285138919895806,2,10
"['GLUDy', 'ICHORS_copy2']",0.0,0.2760038126111554,2,10
"['IDOND', 'GLUDy']",0.0,0.2760038126111599,2,10
"['OHPBAT', 'ACACT7r']",-1.1547873768336103e-11,0.2851387424306391,2,10
"['LDH_D', 'GLUDy']",0.0,0.2760038126111458,2,10
"['OHPBAT', 'LDH_D']",-1.924926884555589e-11,0.2854710304422376,2,10
"['OHPBAT', 'IDOND', 'ACACT7r', 'ICHORS_copy2']",0.0,0.2851387424296887,4,10
['THZPSN'],9.159287158388985e-05,0.2854636263829853,1,10
['ACACT1r'],0.0,0.28312229041691,1,10
['5DGLCNR'],0.0,0.2854712083206315,1,10
"['PMANM', 'G3PD2']",9.00399754755199e-11,0.2853049672370933,2,10
"['5DGLCNR', 'G3PD2']",-1.9403811890583708e-11,0.2853049673575965,2,10
"['ACACT1r', '5DGLCNR']",0.0,0.2831222904169191,2,10
"['ACACT1r', 'PERD']",0.0,0.2831221154521735,2,10
"['GLUDy', 'PERD']",0.0,0.2760036463339706,2,10
"['RPI', 'THZPSN', 'PYDXNK']",0.0004878660818878,0.0958577270860577,3,10
"['AI2K', 'RPI', 'PMANM']",4.329923834589522e-05,0.0958700860442252,3,10
"['FESR', 'THZPSN']",9.159117351923788e-05,0.2854583941522356,2,10
"['ICL', 'MCITD', 'THZPSN']",4.759266012108589e-05,0.1878571585081437,3,10
"['ACOAD3f', 'TMDPP', 'FUM']",2.2981794245424678e-10,0.0431319269682707,3,10
"['NNAM', 'RPE', 'FUM']",3.034670546803286e-06,0.0293495164493094,3,10
"['SULRi', 'RPE', 'FUM']",2.733031578827649e-10,0.0293497251047833,3,10
"['PUNP3', 'A5PISO', 'ENO', 'VALTA']",2.9800206746699587e-10,0.2820918461173802,4,10
"['ICL', 'PYDAMK', 'THZPSN', 'A5PISO']",4.759265993299541e-05,0.1878571585081637,4,10
"['S7PI', 'RPE', 'THZPSN', 'FUM']",1.1665836378948849e-05,0.0293489229203021,4,10
"['FESR', 'ICL', 'THZPSN', 'ACACT4r']",4.741579952755249e-05,0.1871590575948298,4,10
"['MCITD', 'THZPSN', 'ACACT4r', 'ACGAMK']",9.110876905147388e-05,0.283954845311658,4,10
"['FBA', 'ALCD19']",1.2261011761438569e-08,0.2854712076397874,2,11
"['FBA', 'ACOATA']",-1.9397816686250732e-11,0.2854712083222314,2,11
"['ACOATA', 'ALCD19']",0.0,0.2854712083206407,2,11
"['ACOATA', 'ACOAD8f']",0.0,0.2854712083206361,2,11
"['ALCD19', 'ACOAD8f']",0.0,0.2854712083206237,2,11
"['FBA', 'ACOAD8f']",0.0,0.2854712083206195,2,11
"['ACOAD2f', 'ACOAD8f']",0.0,0.2831222904168982,2,11
"['FBA', 'ACOAD2f']",0.0,0.2831222904169229,2,11
"['ACOATA', 'ACOAD2f']",0.0,0.2831222904169201,2,11
"['ALCD19', 'ACOAD2f']",0.0,0.2831222904169304,2,11
"['PPM', 'ADPT', 'FUM']",1.6891695461270805e-06,0.0436365750376399,3,11
