,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'TMDPP', 'VALTA'}",2,8.619736036052927e-10,0.2854712082359144,0.0,0.03448607594936437
1,"{'VALTA', 'A5PISO'}",2,0.0,0.28547120832062667,0.0,0.03448607594940656
2,"{'TMDPP', 'IPDDI'}",2,0.0,0.28547120832062683,0.0,0.03448607594939779
3,"{'GLUCYS', 'MDDEP4pp'}",2,2.0070513306880144e-10,0.285471208303725,0.0,0.034486075949404116
4,"{'VALTA', 'IPDDI'}",2,0.0,0.28547120832062645,0.0,0.03448607594936859
5,"{'A5PISO', 'IPDDI'}",2,0.0,0.28547120832063994,0.0,0.03448607594935549
6,"{'IPDDI', 'FBA'}",2,-1.9318768806897424e-11,0.2854712083222236,0.0,0.03448607594936948
7,"{'TMDPP', 'MAN1PT2', 'ACACT5r', 'A5PISO'}",4,2.7611256614434865e-09,0.28427266041712174,0.0,0.03448607594933706
8,"{'TMDPP', 'A5PISO', 'VALTA', 'IPDDI'}",4,2.7532776059047137e-10,0.28547120832222167,0.0,0.03448607594938791
9,"{'MSAR', 'GMHEPK', 'ACACT5r', 'KDOCT2'}",4,2.49951881414745e-09,0.28427266027576015,0.0,0.034486075949418105
