,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,{'THZPSN'},1,9.159287158388985e-05,0.2854636263829853,0.0,0.03448607594938258
1,{'ACACT1r'},1,0.0,0.28312229041691006,0.0,0.03448607594934505
2,{'5DGLCNR'},1,0.0,0.28547120832063155,0.0,0.0344860759493717
3,"{'G3PD2', 'PMANM'}",2,9.00399754755199e-11,0.28530496723709337,0.0,0.03448607594941633
4,"{'G3PD2', '5DGLCNR'}",2,-1.940381189058371e-11,0.28530496735759653,0.0,0.034486075949374806
5,"{'5DGLCNR', 'ACACT1r'}",2,0.0,0.28312229041691916,0.0,0.0344860759493657
6,"{'PERD', 'ACACT1r'}",2,0.0,0.28312211545217353,0.0,0.0344860759493919
7,"{'PERD', 'GLUDy'}",2,0.0,0.2760036463339706,0.0,0.034486075949415884
8,"{'THZPSN', 'PYDXNK', 'RPI'}",3,0.00048786608188782854,0.09585772708605779,0.0,0.03448607594915365
9,"{'AI2K', 'PMANM', 'RPI'}",3,4.329923834589522e-05,0.09587008604422523,0.0,0.03448607594911823
