,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'TKT1', 'THZPSN', 'AGMHE'}",3,9.484293986961913e-05,0.28473786735789686,0.0,0.0344860759493566
1,"{'E4PD', 'TRSARr', 'MCITL2'}",3,0.0,0.2854710304406426,0.0,0.03448607594938835
2,"{'KDOPP', 'ECOAH4', 'GALUi'}",3,3.2787283998914063e-10,0.28396234726389175,0.0,0.03448607594944941
3,"{'TRSARr', 'THZPSN', 'MCITL2'}",3,0.0,0.28546362638299816,0.0,0.03448607594943165
4,"{'TKT1', 'TRSARr', 'PRPPS'}",3,0.0,0.2847456983790857,0.0,0.03448607594938857
5,"{'KDOPP', 'THZPSN', 'ECOAH8'}",3,1.3977455637359526e-08,0.2854636250980276,0.0,0.03448607594937769
6,"{'E4PD', 'THZPSN', '4HTHRK'}",3,0.7689441131769368,0.2218129256465114,0.0,3.2459428571428575
7,"{'PRPPS', 'THZPSN', 'HXAND', 'AP4AS'}",4,9.15928716374026e-05,0.28546362638298173,0.0,0.03448607594934128
8,"{'E4PD', 'ECOAH4', 'ECOAH8', '4HTHRK'}",4,0.7689446148091056,0.22064635115738174,0.0,3.2459428571428575
9,"{'E4PD', 'TRSARr', 'ECOAH4', 'MCITL2'}",4,0.0,0.28396217130875534,0.0,0.03448607594932729
