,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'PGM', 'THZPSN'}",2,9.448984777437838e-05,0.28208411696441005,0.0,0.03448607594940123
1,"{'FACOAE100', 'FESR'}",2,1.0029925085445226e-10,0.28546597580204214,0.0,0.034486075949370476
2,"{'ENO', 'OHPBAT'}",2,0.0,0.2820912816143411,0.0,0.03448607594945874
3,"{'PGM', 'ENO'}",2,0.0,0.28209184611737953,0.0,0.03448607594941855
4,"{'ENO', 'DSERDHr', 'MMM'}",3,1.7471393221057951e-09,0.28209184591453956,0.0,0.034486075949344386
5,"{'ECOAH5', 'PERD', '4HTHRA'}",3,0.768944511121862,0.2208874811387813,0.0,3.2459428571428575
6,"{'FUM', 'TPI', 'G3PD2'}",3,1.2966427519193926e-10,0.04360038230138826,0.0,0.006406509945750115
7,"{'OHPBAT', 'THZPSN', '4HTHRA'}",3,0.7689441131768956,0.22181292564651484,0.0,3.2459428571428575
8,"{'OHPBAT', 'DSERDHr', 'PERD'}",3,1.956550477189012e-10,0.2854710304406444,0.0,0.034486075949333506
9,"{'PERD', 'ECOAH4', '4HTHRA'}",3,0.7689446147973253,0.22064635115834996,0.0,3.2459428571428575
