,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'PERD', 'ACACT6r', 'TALA', '4HTHRK'}",4,0.7689473678033114,0.2205170140612469,0.0,3.2459428571428566
1,"{'E4PD', 'ACOAD4f', 'TALA', '4HTHRK'}",4,0.7689475468199249,0.2200885103758447,0.0,3.245942857142857
2,"{'E4PD', 'PPKr', 'ACACT6r', '4HTHRK'}",4,0.7689457390941365,0.2180317598901496,0.0,3.2459428571428566
3,"{'HEPTB2', 'PERD', '4HTHRK', 'ACOAD4f'}",4,0.7689446148088981,0.22064635115739845,0.0,3.245942857142857
4,"{'ECOAH7', 'PPKr', 'PERD', '4HTHRK'}",4,0.7689455149611877,0.21855299440699433,0.0,3.2459428571428575
5,"{'PERD', 'PPKr', 'KDOPS', '4HTHRK'}",4,0.7689454069267891,0.2188042338739516,0.0,3.245942857142857
6,"{'ACOAD4f', 'KDOPS', 'PERD', '4HTHRK'}",4,0.768944614808874,0.22064635115740014,0.0,3.2459428571428566
7,"{'PERD', 'TALA', 'ECOAH7', '4HTHRK', 'GLU5K'}",5,0.7689472519487743,0.2207942832756957,0.0,3.2459428571428575
8,"{'E4PD', 'NAMNPP', 'PPKr', 'AGMHE', '4HTHRK'}",5,0.7689454069270782,0.2188042338739383,0.0,3.245942857142857
9,"{'E4PD', 'TALA', '4HTHRK', 'KDOPS', 'MDDEP4pp'}",5,0.7689470594771622,0.22125503977564326,0.0,3.245942857142857
