,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'PGMT', 'CTECOAI6', 'CTECOAI8'}",3,5.149672688276041e-09,0.285471208170456,0.0,0.034486075949385686
1,"{'ICHORT', 'PGMT', 'KDOCT2'}",3,6.308748234928885e-08,0.28547120832192935,0.0,0.03448607594937214
2,"{'ICHORT', 'CTECOAI6', 'GNP'}",3,4.921105301036732e-08,0.28547120813069177,0.0,0.034486075949357486
3,"{'MMCD', 'ACOAD8f', 'GNP'}",3,4.881258064415306e-09,0.28546916406938094,0.0,0.034486075949369255
4,"{'ICHORT', 'PGMT', 'GNP'}",3,1.3513499652617611e-08,0.2854712075084656,0.0,0.0344860759493828
5,"{'ICHORT', 'A5PISO', 'ACOAD8f'}",3,1.5262664010418092e-07,0.28547120549200516,0.0,0.03448607594937059
6,"{'FUM', 'AACPS7', 'KDOCT2'}",3,1.012608663586434e-09,0.04361662788329314,0.0,0.006406509945774609
7,"{'FUM', 'A5PISO', 'ACOAD7f'}",3,1.9817321117443498e-08,0.04360378979041955,0.0,0.0064065099457870645
8,"{'ACOAD8f', 'CTECOAI6', 'ACOAD7f'}",3,4.080789040017407e-09,0.28531859205677323,0.0,0.034486075949347716
9,"{'PGI', 'AACPS7', 'TALA'}",3,2.0461516072737055e-08,0.2840260034476723,0.0,0.034486075949338835
