,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'E4PD', 'GCALDD'}",2,1.5354738289765402,0.1581793370491535,0.0,3.2459428571428584
1,"{'CYTK1', 'NDPK2'}",2,4.516552021271991e-09,0.284284213915953,0.0,0.034486075949357264
2,"{'ECOAH2', 'PTAr'}",2,0.0,0.28312229041692266,0.0,0.034486075949294426
3,"{'CYTK1', 'PTAr'}",2,0.0,0.2849363748574214,0.0,0.034486075949371475
4,"{'CYTK1', 'GCALDD'}",2,0.0,0.2849363748574273,0.0,0.03448607594942876
5,"{'NDPK2', 'GCALDD'}",2,0.0,0.284994505322354,0.0,0.03448607594936015
6,"{'GCALDD', 'PUNP5'}",2,0.0,0.28547120832064066,0.0,0.0344860759493919
7,"{'E4PD', 'GCALDD', 'ECOAH2'}",3,1.5356567124369027,0.1568775728897142,0.0,3.2459428571428774
8,"{'NDPK2', 'ECOAH2', 'PTAr'}",3,0.0,0.28265339352908725,0.0,0.03448607594939879
9,"{'E4PD', 'NDPK2', 'GMHEPK'}",3,3.322952579765115e-09,0.2849943276592146,0.0,0.03448607594937381
