,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'THZPSN', 'FESR'}",2,9.159117351923789e-05,0.2854583941522356,0.0,0.034486075949412776
1,"{'MCITD', 'ICL', 'THZPSN'}",3,4.759266012108589e-05,0.18785715850814372,0.0,0.016356962025304123
2,"{'FUM', 'ACOAD3f', 'TMDPP'}",3,2.298179424542468e-10,0.04313192696827074,0.0,0.006406509945798833
3,"{'FUM', 'RPE', 'NNAM'}",3,3.034670546803286e-06,0.029349516449309443,0.0,0.004268070175345806
4,"{'FUM', 'RPE', 'SULRi'}",3,2.7330315788276494e-10,0.029349725104783397,0.0,0.004268070175548561
5,"{'VALTA', 'ENO', 'PUNP3', 'A5PISO'}",4,2.9800206746699587e-10,0.28209184611738025,0.0,0.03448607594937902
6,"{'A5PISO', 'PYDAMK', 'ICL', 'THZPSN'}",4,4.7592659932995404e-05,0.18785715850816379,0.0,0.016356962025281252
7,"{'FUM', 'THZPSN', 'S7PI', 'RPE'}",4,1.1665836378948849e-05,0.02934892292030219,0.0,0.004268070175401706
8,"{'ACACT4r', 'ICL', 'FESR', 'THZPSN'}",4,4.741579952755249e-05,0.18715905759482987,0.0,0.01635696202531678
9,"{'MCITD', 'ACACT4r', 'THZPSN', 'ACGAMK'}",4,9.110876905147387e-05,0.283954845311658,0.0,0.034486075949330175
