,reactions,size,EX_btd_RR_e,biomass,fva_min,fva_max
0,"{'FUM', 'PPKr'}",2,1.2139877957062506e-09,0.042804841307521435,0.0,0.006406509945740657
1,"{'SUCOAS', 'AGMHE', 'GLU5K'}",3,2.661117870937356e-10,0.27194457139802475,0.0,0.03313239436621407
2,"{'PPKr', 'ASPO6', 'GLU5K'}",3,1.1143480999065147e-09,0.2813325470426806,0.0,0.03448607594933106
3,"{'FUM', 'PPKr', 'FACOAE141'}",3,1.0489789489505699e-10,0.04280484130861075,0.0,0.006406509945744099
4,"{'FLDR2', 'AGMHE', 'ACALD'}",3,2.132509597849012e-10,0.2854712083029738,0.0,0.03448607594935216
5,"{'LDH_D', 'ECOAH8', 'S7PI'}",3,2.6091261789984443e-10,0.28547120829902833,0.0,0.03448607594937325
6,"{'FUM', 'ACACT5r', 'CTECOAI7'}",3,1.9233237225080302e-10,0.04336433054468204,0.0,0.006406509945751374
7,"{'FUM', 'AGDC', 'FACOAE80'}",3,1.85359402089455e-10,0.043636690079497165,0.0,0.006406509945617035
8,"{'PGMT', 'ALCD2x', 'MALS'}",3,2.867295734176878e-09,0.2592654820711197,0.0,0.03040470588235422
9,"{'E4PD', 'ACOAD8f', '4HTHRA'}",3,0.7689441106434085,0.22181881722045907,0.0,3.2459428571428575
